Date,Close
2019-12-02,11502.83
2019-12-03,11531.58
2019-12-04,11510.47
2019-12-05,11594.65
2019-12-06,11609.64
2019-12-09,11660.77
2019-12-10,11627.84
2019-12-11,11700.77
2019-12-12,11836.42
2019-12-13,11927.73
2019-12-16,11939.77
2019-12-17,12097.01
2019-12-18,12122.45
2019-12-19,12018.9
2019-12-20,11959.08
2019-12-23,12022.23
2019-12-24,11976.38
2019-12-25,12008.13
2019-12-26,12001.01
2019-12-27,12091.59
2019-12-30,12053.37
2019-12-31,11997.14
2020-01-02,12100.48
2020-01-03,12110.43
2020-01-06,11953.36
2020-01-07,11880.32
2020-01-08,11817.1
2020-01-09,11970.63
2020-01-10,12024.65
2020-01-13,12113.42
2020-01-14,12179.81
2020-01-15,12091.88
2020-01-16,12066.93
2020-01-17,12090.29
2020-01-20,12118.71
2020-01-30,11421.74
2020-01-31,11495.1
2020-02-03,11354.92
2020-02-04,11555.92
2020-02-05,11573.62
2020-02-06,11749.68
2020-02-07,11612.81
2020-02-10,11574.07
2020-02-11,11664.04
2020-02-12,11774.19
2020-02-13,11791.78
2020-02-14,11815.7
2020-02-17,11763.51
2020-02-18,11648.98
2020-02-19,11758.84
2020-02-20,11725.09
2020-02-21,11686.35
2020-02-24,11534.87
2020-02-25,11540.23
2020-02-26,11433.62
2020-02-27,11292.17
2020-03-02,11170.46
2020-03-03,11327.72
2020-03-04,11392.35
2020-03-05,11514.82
2020-03-06,11321.81
2020-03-09,10977.64
2020-03-10,11003.54
2020-03-11,10893.75
2020-03-12,10422.32
2020-03-13,10128.87
2020-03-16,9717.77
2020-03-17,9439.63
2020-03-18,9218.67
2020-03-19,8681.34
2020-03-20,9234.09
2020-03-23,8890.03
2020-03-24,9285.62
2020-03-25,9644.75
2020-03-26,9736.36
2020-03-27,9698.92
2020-03-30,9629.43
2020-03-31,9708.06
2020-04-01,9663.63
2020-04-06,9818.74
2020-04-07,9996.39
2020-04-08,10137.47
2020-04-09,10119.43
2020-04-10,10157.61
2020-04-13,10099.22
2020-04-14,10332.94
2020-04-15,10447.21
2020-04-16,10375.48
2020-04-17,10597.04
2020-04-20,10586.71
2020-04-21,10288.42
2020-04-22,10307.74
2020-04-23,10366.51
2020-04-24,10347.36
2020-04-27,10567.27
2020-04-28,10616.06
2020-04-29,10772.22
2020-04-30,10992.14
2020-05-04,10720.48
2020-05-05,10774.61
2020-05-06,10774.98
2020-05-07,10842.92
2020-05-08,10901.42
2020-05-11,11013.26
2020-05-12,10879.47
2020-05-13,10938.27
2020-05-14,10780.88
2020-05-15,10814.92
2020-05-18,10740.55
2020-05-19,10860.44
2020-05-20,10907.8
2020-05-21,11008.31
2020-05-22,10811.15
2020-05-25,10871.18
2020-05-26,10997.21
2020-05-27,11014.66
2020-05-28,10944.19
2020-05-29,10942.16
2020-06-01,11079.02
2020-06-02,11127.93
2020-06-03,11320.16
2020-06-04,11393.23
2020-06-05,11479.4
2020-06-08,11610.32
2020-06-09,11637.11
2020-06-10,11720.16
2020-06-11,11535.77
2020-06-12,11429.94
2020-06-15,11306.26
2020-06-16,11511.64
2020-06-17,11534.59
2020-06-18,11548.33
2020-06-19,11549.86
2020-06-22,11572.93
2020-06-23,11612.36
2020-06-24,11660.67
2020-06-29,11542.62
2020-06-30,11621.24
